opponent_rating,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p
500,0,0,,0,0,,0,0,
520,0,0,,0,0,,0,0,
540,0,0,,0,0,,0,0,
560,0,0,,0,0,,0,0,
580,0,0,,0,0,,0,0,
600,0,0,,0,0,,0,0,
620,0,0,,0,0,,0,0,
640,0,0,,0,0,,0,0,
660,0,0,,0,0,,0,0,
680,0,0,,0,0,,0,0,
700,0,0,,0,0,,0,0,
720,0,0,,0,0,,0,0,
740,0,0,,0,0,,0,0,
760,0,0,,0,0,,0,0,
780,0,0,,0,0,,0,0,
800,0,0,,0,0,,0,0,
820,0,0,,0,0,,0,0,
840,0,0,,0,0,,0,0,
860,0,0,,0,0,,0,0,
880,0,0,,0,0,,0,0,
900,0,0,,0,0,,0,0,
920,0,0,,0,0,,0,0,
940,0,0,,0,0,,0,0,
960,0,0,,0,0,,0,0,
980,0,0,,0,0,,0,0,
1000,0,0,,3,4,0.6666666666666666,0,0,
1020,0,0,,0,0,,0,0,
1040,0,0,,0,0,,0,0,
1060,0,0,,0,0,,0,0,
1080,1,2,1.0,0,0,,0,0,
1100,2,2,0.5,0,0,,0,0,
1120,3,4,0.6666666666666666,4,8,1.0,0,0,
1140,6,12,1.0,1,2,1.0,0,0,
1160,5,10,1.0,0,0,,0,0,
1180,16,17,0.53125,5,8,0.8,0,0,
1200,16,14,0.4375,3,5,0.8333333333333334,0,0,
1220,33,36,0.5454545454545454,0,0,,0,0,
1240,44,56,0.6363636363636364,0,0,,0,0,
1260,73,68,0.4657534246575342,0,0,,0,0,
1280,93,104,0.5591397849462365,1,0,0.0,0,0,
1300,83,100,0.6024096385542169,4,8,1.0,0,0,
1320,108,146,0.6759259259259259,5,5,0.5,0,0,
1340,138,149,0.5398550724637681,6,6,0.5,0,0,
1360,199,195,0.4899497487437186,18,20,0.5555555555555556,0,0,
1380,263,280,0.532319391634981,31,34,0.5483870967741935,0,0,
1400,360,389,0.5402777777777777,39,41,0.5256410256410257,0,0,
1420,449,468,0.5211581291759465,52,54,0.5192307692307693,0,0,
1440,426,411,0.4823943661971831,57,57,0.5,0,0,
1460,473,453,0.4788583509513742,55,55,0.5,0,0,
1480,390,363,0.4653846153846154,79,87,0.5506329113924051,0,0,
1500,340,332,0.48823529411764705,92,111,0.6032608695652174,0,0,
1520,213,211,0.4953051643192488,84,64,0.38095238095238093,0,0,
1540,188,178,0.4734042553191489,64,67,0.5234375,0,0,
1560,120,104,0.43333333333333335,45,38,0.4222222222222222,0,0,
1580,82,58,0.35365853658536583,16,8,0.25,0,0,
1600,42,34,0.40476190476190477,13,12,0.46153846153846156,0,0,
1620,23,22,0.4782608695652174,6,2,0.16666666666666666,0,0,
1640,18,10,0.2777777777777778,1,0,0.0,0,0,
1660,7,8,0.5714285714285714,1,0,0.0,0,0,
1680,0,0,,0,0,,0,0,
1700,1,0,0.0,0,0,,0,0,
1720,1,0,0.0,0,0,,0,0,
1740,1,0,0.0,0,0,,0,0,
1760,0,0,,0,0,,0,0,
1780,0,0,,0,0,,0,0,
1800,0,0,,0,0,,0,0,
1820,0,0,,0,0,,0,0,
1840,0,0,,0,0,,0,0,
1860,0,0,,0,0,,0,0,
1880,0,0,,0,0,,0,0,
1900,0,0,,0,0,,0,0,
1920,0,0,,0,0,,0,0,
1940,0,0,,0,0,,0,0,
1960,0,0,,0,0,,0,0,
1980,0,0,,0,0,,0,0,
2000,0,0,,0,0,,0,0,
2020,0,0,,0,0,,0,0,
2040,0,0,,0,0,,0,0,
2060,0,0,,0,0,,0,0,
2080,0,0,,0,0,,0,0,
2100,0,0,,0,0,,0,0,
2120,0,0,,0,0,,0,0,
2140,0,0,,0,0,,0,0,
2160,0,0,,0,0,,0,0,
2180,0,0,,0,0,,0,0,
2200,0,0,,0,0,,0,0,
2220,0,0,,0,0,,0,0,
2240,0,0,,0,0,,0,0,
2260,0,0,,0,0,,0,0,
2280,0,0,,0,0,,0,0,
2300,0,0,,0,0,,0,0,
2320,0,0,,0,0,,0,0,
2340,0,0,,0,0,,0,0,
2360,0,0,,0,0,,0,0,
2380,0,0,,0,0,,0,0,
2400,0,0,,0,0,,0,0,
2420,0,0,,0,0,,0,0,
2440,0,0,,0,0,,0,0,
2460,0,0,,0,0,,0,0,
2480,0,0,,0,0,,0,0,
2500,0,0,,0,0,,0,0,
2520,0,0,,0,0,,0,0,
2540,0,0,,0,0,,0,0,
2560,0,0,,0,0,,0,0,
2580,0,0,,0,0,,0,0,
2600,0,0,,0,0,,0,0,
2620,0,0,,0,0,,0,0,
2640,0,0,,0,0,,0,0,
2660,0,0,,0,0,,0,0,
2680,0,0,,0,0,,0,0,
2700,0,0,,0,0,,0,0,
2720,0,0,,0,0,,0,0,
2740,0,0,,0,0,,0,0,
2760,0,0,,0,0,,0,0,
2780,0,0,,0,0,,0,0,
2800,0,0,,0,0,,0,0,
