,bullet_min,bullet_max,bullet_mean,blitz_min,blitz_max,blitz_mean,rapid_min,rapid_max,rapid_mean
2021-06-01,1578.0,1578.0,1578.0,1431.0,1449.0,1440.2857142857142,,,
2021-06-02,,,,1430.0,1457.0,1441.6666666666667,,,
2021-06-03,,,,1416.0,1423.0,1419.5,,,
2021-06-04,,,,1423.0,1445.0,1434.75,,,
2021-06-05,1428.0,1428.0,1428.0,1438.0,1488.0,1468.8,,,
2021-06-06,,,,1455.0,1478.0,1468.0,,,
2021-06-07,,,,1425.0,1460.0,1444.6666666666667,,,
2021-06-08,,,,1419.0,1433.0,1424.25,,,
2021-06-09,,,,1389.0,1431.0,1405.0588235294117,,,
2021-06-10,,,,1383.0,1394.0,1388.5,,,
2021-06-11,,,,1389.0,1407.0,1398.4,,,
2021-06-12,,,,1408.0,1431.0,1421.75,,,
2021-06-13,,,,1422.0,1429.0,1425.75,,,
2021-06-14,,,,1407.0,1428.0,1415.3333333333333,,,
2021-06-15,,,,1412.0,1431.0,1420.6875,,,
2021-06-16,,,,1409.0,1432.0,1422.4444444444443,,,
2021-06-17,,,,1400.0,1439.0,1418.5833333333333,,,
2021-06-18,,,,1416.0,1428.0,1422.428571428571,,,
2021-06-19,,,,1410.0,1479.0,1436.9655172413793,,,
2021-06-20,,,,1473.0,1515.0,1498.5,,,
2021-06-21,,,,1505.0,1529.0,1516.6,,,
2021-06-22,,,,1476.0,1499.0,1485.0,,,
2021-06-23,,,,1467.0,1482.0,1476.0,,,
2021-06-24,,,,1467.0,1485.0,1473.7142857142858,,,
2021-06-25,,,,1479.0,1503.0,1490.2727272727273,,,
2021-06-26,,,,1490.0,1497.0,1493.625,,,
2021-06-27,,,,1496.0,1514.0,1504.75,,,
2021-06-28,,,,1520.0,1527.0,1523.3333333333333,,,
2021-06-29,,,,1521.0,1545.0,1535.7777777777778,,,
2021-06-30,1505.0,1505.0,1505.0,1523.0,1539.0,1529.9166666666667,,,
2021-07-01,,,,1531.0,1562.0,1546.2857142857142,,,
2021-07-02,,,,,,,,,
2021-07-03,,,,1568.0,1585.0,1574.6666666666667,,,
2021-07-04,,,,1563.0,1574.0,1569.6666666666667,,,
2021-07-05,,,,1526.0,1563.0,1544.0,,,
2021-07-06,,,,1519.0,1519.0,1519.0,,,
2021-07-07,,,,1512.0,1529.0,1521.2,,,
2021-07-08,,,,1523.0,1535.0,1529.25,,,
2021-07-09,,,,1523.0,1542.0,1530.875,,,
2021-07-10,,,,1518.0,1537.0,1529.571428571429,,,
2021-07-11,,,,1511.0,1524.0,1519.7142857142858,,,
2021-07-12,,,,1499.0,1505.0,1502.0,,,
2021-07-13,,,,,,,,,
2021-07-14,,,,,,,,,
2021-07-15,,,,1492.0,1492.0,1492.0,,,
2021-07-16,,,,1499.0,1529.0,1517.1,,,
2021-07-17,,,,1515.0,1531.0,1523.6,,,
2021-07-18,,,,1516.0,1522.0,1518.5,,,
2021-07-19,,,,1522.0,1534.0,1527.0,,,
2021-07-20,,,,,,,,,
2021-07-21,,,,1512.0,1529.0,1520.5,,,
2021-07-22,,,,,,,,,
2021-07-23,,,,,,,,,
2021-07-24,,,,1524.0,1530.0,1526.875,,,
2021-07-25,,,,1508.0,1519.0,1513.142857142857,,,
2021-07-26,,,,1509.0,1509.0,1509.0,,,
2021-07-27,,,,,,,,,
2021-07-28,,,,1497.0,1503.0,1500.0,,,
2021-07-29,,,,1484.0,1502.0,1492.75,,,
2021-07-30,,,,1479.0,1479.0,1479.0,,,
2021-07-31,,,,1484.0,1484.0,1484.0,,,
2021-08-01,,,,,,,,,
2021-08-02,,,,1484.0,1490.0,1487.0,,,
2021-08-03,,,,,,,,,
2021-08-04,,,,,,,,,
2021-08-05,,,,1490.0,1490.0,1490.0,,,
2021-08-06,,,,1496.0,1502.0,1499.0,,,
2021-08-07,,,,1509.0,1515.0,1512.0,,,
2021-08-08,,,,1509.0,1509.0,1509.0,,,
2021-08-09,,,,1504.0,1509.0,1506.5,,,
2021-08-10,,,,,,,,,
2021-08-11,,,,1514.0,1521.0,1517.5,,,
2021-08-12,,,,1527.0,1534.0,1530.6666666666667,,,
2021-08-13,,,,1522.0,1528.0,1525.0,,,
2021-08-14,,,,1525.0,1531.0,1527.75,,,
2021-08-15,,,,1532.0,1532.0,1532.0,,,
2021-08-16,,,,,,,,,
2021-08-17,,,,1521.0,1526.0,1523.5,,,
2021-08-18,,,,1526.0,1526.0,1526.0,,,
2021-08-19,,,,1520.0,1526.0,1523.0,,,
2021-08-20,,,,,,,,,
2021-08-21,,,,1527.0,1538.0,1532.5,,,
2021-08-22,,,,1544.0,1555.0,1548.8333333333333,,,
2021-08-23,,,,1537.0,1544.0,1540.5,,,
