date,id,variant,time,pre_rating,rating,difference,result,points,color,opponent,op_username,op_difference,moves_count,moves,opening
2021-06-01,DGfVonuQ,bullet,14:06,1700,1578,-122,loss,-1,black,1745,Gabriel1404,167,14,e4 c5 c3 d6 d4 g6 Nf3 cxd4 cxd4 Bg7 Nc3 Nc6 Be3 a6 Be2 Nf6 O-O O-O Re1 Qb6 Qd2 Bg4 d5 Ne5 Bxb6 Bxf3 Bxf3 Nxf3+ gxf3,B22
2021-06-01,fQ3jYJZa,blitz,14:37,1437,1431,-6,loss,-1,white,1456,Scgscgscg,25,21,e4 e5 Nf3 d5 exd5 e4 Qe2 Qxd5 Nc3 Qf5 Qxe4+ Qxe4+ Nxe4 Bd6 Bb5+ Bd7 Bxd7+ Nxd7 Nxd6+ cxd6 O-O Ngf6 d3 O-O Bg5 h6 Bh4 Nd5 Be7 Nxe7 Rfe1 Nd5 c4 N5f6 Re7 Rae8 Rae1 Rxe7 Rxe7 Re8 Rxd7 Nxd7,C40
2021-06-01,JUgESj2u,blitz,14:39,1431,1437,6,win,1,white,1432,horrnychesser,-5,36,e4 e5 Nf3 d6 h3 Be7 Nc3 c6 Bc4 Bf6 O-O Ne7 d3 O-O Be3 Ng6 d4 exd4 Bxd4 Bxd4 Nxd4 Ne5 Bd3 Nbd7 Nf3 Nxd3 Qxd3 Ne5 Nxe5 dxe5 Qg3 f6 Rad1 Be6 Rxd8 Raxd8 b3 b5 a4 a6 axb5 cxb5 Nd5 Bxd5 exd5 Rxd5 Qf3 Rfd8 c4 bxc4 bxc4 Rd4 Qc6 a5 Qb5 Ra8 c5 a4 c6 a3 c7 a2 Qb8+ Rxb8 cxb8=Q+ Kf7 Qb7+ Kg6 Ra1 Rb4 Qxb4,C41
2021-06-01,PRb7UIpi,blitz,14:46,1437,1443,6,win,1,black,1429,Zulla89,-14,34,e4 c5 Nf3 d6 Nc3 Bg4 Bc4 a6 h3 Bh5 Be2 g6 Ng5 Bxe2 Qxe2 Bg7 d3 Nf6 Qf3 Nc6 Be3 Ne5 Qe2 O-O O-O Qb6 b3 Nc6 a3 Nh5 Qg4 Bxc3 Rad1 Bf6 Nf3 Ne5 Nxe5 Bxe5 a4 Qb4 Bd2 Bc3 Qe2 Bxd2 Rxd2 Nf4 Qe3 Ne6 Re1 Nd4 Rc1 Ne6 e5 dxe5 c3 Qf4 Qe2 Rad8 Rcd1 c4 g3 Qh6 h4 cxd3 Rxd3 Rxd3 Rxd3 Nc5,B50
2021-06-01,e0Sd7PO7,blitz,19:33,1443,1443,0,draw,0,white,1442,ronnie_3,-1,61,e4 c5 e5 b6 Bc4 Nc6 Qh5 g6 Qf3 Nxe5 Qxa8 Nxc4 Nc3 a6 d3 Nd6 Qd5 Bg7 Bf4 Bxc3+ bxc3 e6 Qxd6 Qe7 Nf3 Qxd6 Bxd6 Nf6 Rb1 b5 c4 bxc4 dxc4 Ne4 Rd1 Nc3 Rd2 Ne4 Rd1 Nc3 Rd2 Nxa2 Bxc5 Nc3 O-O Ne4 Be3 Nxd2 Bxd2 Bb7 Bb4 Bxf3 gxf3 g5 Ra1 Rg8 Rxa6 f6 c5 Kf7 Ra7 Rd8 c6 Ke8 cxd7+ Rxd7 Rxd7 Kxd7 Bc3 f5 Kg2 Kc6 Kg3 Kd5 f4 h6 fxg5 hxg5 h3 Ke4 f3+ Ke3 Bf6 g4 hxg4 fxg4 fxg4 Kd2 c4 Kc2 c5 Kd3 c6 Ke4 c7 Kd5 c8=Q e5 Qe8 e4 Qd8+ Kc4 g5 e3 g6 e2 Qd4+ Kb3 Qd2 Kc4 Qxe2+ Kc5 g7 Kd6 g8=Q Kc5 Qd8 Kc6 Qc2+ Kb5 Qb8+ Ka6,B20
2021-06-01,0Lldt0Jt,blitz,22:09,1443,1449,6,win,1,black,1439,chessman65456154,-10,30,e4 e5 Nf3 Nc6 Bc4 Bc5 Nc3 Nf6 h3 a6 d3 b5 Bb3 a5 a4 b4 Nd5 Nxd5 Bxd5 Nd4 Nxe5 O-O Be3 c6 Bc4 d6 Nxc6 Nxc6 Bxc5 dxc5 O-O Qg5 d4 Bxh3 Qf3 Bg4 Qg3 Nxd4 f3 Qe3+ Rf2 Be6 Bxe6 Nxe6 Kf1 Rad8 Re1 Qh6 Ke2 Nf4+ Ke3 Nh5+ f4 Nxg3 Kf3 Nh5 Rff1 Qxf4+ Ke2 Rd2#,C50
2021-06-01,ZzudoPZS,blitz,22:50,1449,1442,-7,loss,-1,white,1363,FreezeFrame,-79,35,e4 e5 Nf3 Nc6 Bb5 d6 h3 a6 Ba4 Nf6 Nc3 g6 d3 Bg7 Bg5 O-O Nd5 b5 Bb3 Be6 O-O a5 a3 a4 Ba2 h6 Bh4 g5 Bg3 Nxd5 exd5 Bxd5 Bxd5 Qd7 d4 exd4 Re1 Ra6 Bxc6 Qxc6 Nxd4 Bxd4 Qxd4 Qxc2 Rac1 Qb3 Re3 Qa2 Rxc7 Raa8 Bxd6 Rfd8 Qf6 Qb1+ Kh2 Qg6 Qxg6+ fxg6 Ree7 Rxd6 Rg7+ Kf8 Rgf7+ Ke8 Rce7+ Kd8 Rd7+ Rxd7 Rxd7+ Kxd7,C62
2021-06-01,1pymkzLY,blitz,23:30,1442,1437,-5,loss,-1,black,1513,Moto_Maxer,76,42,e4 c5 d4 b6 c3 g6 Nf3 Bg7 Be3 Nf6 Bd3 O-O Nbd2 Bb7 O-O Nc6 Nb3 Ng4 Bd2 Qc7 h3 Nf6 Qc1 e6 Bh6 Ne7 Bxg7 Kxg7 Qg5 Qd8 dxc5 Bxe4 Bxe4 Nxe4 Qf4 Nxc5 Nxc5 bxc5 Qd6 Rc8 Rad1 Rc6 Qxd7 Nd5 Qxc6 Qa5 a3 Rb8 b4 cxb4 axb4 Rb6 bxa5 Rxc6 c4 Rxc4 Ne5 Ra4 Ra1 Re4 Nc6 Nc3 Nxa7 Ne2+ Kh2 Nf4 Nc6 Rc4 Ne5 Rc5 Nf3 Rc2 a6 Nd3 a7 Nxf2 a8=Q Nd3 Qe4 Nb4 Qxc2 Nxc2 Rac1,B21
2021-06-02,z297tSSs,blitz,10:00,1437,1431,-6,loss,-1,white,1433,MarsyaTsabitah2007,2,14,e4 c5 Nf3 d6 Bc4 a6 a3 Nc6 h3 Nf6 d3 d5 exd5 Nxd5 O-O Qd6 Ng5 Qg6 Ne4 Bxh3 Qf3 Bd7 Bxd5 Nd4 Qf4 Ne2+ Kh1,B50
2021-06-02,TQdnxYoh,blitz,11:38,1431,1437,6,win,1,black,1430,michaelscs,-7,30,e4 e5 Qh5 Nf6 Qxe5+ Qe7 Qxc7 Qxe4+ Be2 Na6 Qc3 Bb4 Qf3 Qxc2 Nc3 O-O Bd3 Re8+ Nge2 Qxd3 Qxd3 Nc5 Qc4 Na6 O-O d5 Nxd5 Be6 Nef4 Rac8 Qd4 Bc5 Qd3 Bxd5 Nxd5 Rcd8 Re1 Rxe1+ Qf1 Rxf1+ Kxf1 Rxd5 b3 Bd4 Rb1 Ne4 d3 Nc3 Rb2 Nb5 Re2 h6 a4 Nc3 Bb2 Nxe2 Kxe2 Bxb2 Ke3 Nb4,C20
