hours,bullet_g,bullet_w,bullet_d,bullet_l,bullet_res,bullet_diff,bullet_diff_avg,blitz_g,blitz_w,blitz_d,blitz_l,blitz_res,blitz_diff,blitz_diff_avg,rapid_g,rapid_w,rapid_d,rapid_l,rapid_res,rapid_diff,rapid_diff_avg,classical_g,classical_w,classical_d,classical_l,classical_res,classical_diff,classical_diff_avg,_g,_w,_d,_l,_res,_diff,_diff_avg
00,290,146,4,140,6,46,0.15862068965517243,25,14,1,10,4,34,1.36,0,0,0,0,0,0,,0,0,0,0,0,0,0,315,160,5,150,10,80,26.666666666666668
01,41,21,1,19,2,14,0.34146341463414637,15,8,0,7,1,8,0.5333333333333333,0,0,0,0,0,0,,0,0,0,0,0,0,0,56,29,1,26,3,22,7.333333333333333
02,36,18,0,18,0,0,0.0,5,2,0,3,-1,-5,-1.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,41,20,0,21,-1,-5,-1.6666666666666667
03,6,3,0,3,0,3,0.5,2,1,0,1,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,4,0,4,0,3,1.0
04,0,0,0,0,0,0,,1,0,0,1,-1,-5,-5.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,-1,-5,-1.6666666666666667
05,7,3,0,4,-1,-4,-0.5714285714285714,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,3,0,4,-1,-4,-1.3333333333333333
06,118,52,1,65,-13,-56,-0.4745762711864407,4,2,0,2,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,122,54,1,67,-13,-56,-18.666666666666668
07,668,306,8,354,-48,-269,-0.4026946107784431,13,6,0,7,-1,9,0.6923076923076923,0,0,0,0,0,0,,0,0,0,0,0,0,0,681,312,8,361,-49,-260,-86.66666666666667
08,1258,624,26,608,16,123,0.09777424483306836,30,13,1,16,-3,-57,-1.9,0,0,0,0,0,0,,0,0,0,0,0,0,0,1288,637,27,624,13,66,22.0
09,914,432,11,471,-39,-245,-0.26805251641137856,32,14,1,17,-3,2,0.0625,0,0,0,0,0,0,,0,0,0,0,0,0,0,946,446,12,488,-42,-243,-81.0
10,890,459,12,419,40,244,0.27415730337078653,43,26,0,17,9,81,1.8837209302325582,0,0,0,0,0,0,,0,0,0,0,0,0,0,933,485,12,436,49,325,108.33333333333333
11,628,318,13,297,21,190,0.30254777070063693,28,13,2,13,0,6,0.21428571428571427,0,0,0,0,0,0,,0,0,0,0,0,0,0,656,331,15,310,21,196,65.33333333333333
12,469,226,7,236,-10,-95,-0.2025586353944563,29,16,0,13,3,36,1.2413793103448276,0,0,0,0,0,0,,0,0,0,0,0,0,0,498,242,7,249,-7,-59,-19.666666666666668
13,538,266,8,264,2,62,0.11524163568773234,36,23,0,13,10,109,3.0277777777777777,0,0,0,0,0,0,,0,0,0,0,0,0,0,574,289,8,277,12,171,57.0
14,672,345,8,319,26,89,0.1324404761904762,53,35,0,18,17,65,1.2264150943396226,0,0,0,0,0,0,,0,0,0,0,0,0,0,725,380,8,337,43,154,51.333333333333336
15,529,262,5,262,0,7,0.013232514177693762,51,28,0,23,5,90,1.7647058823529411,0,0,0,0,0,0,,0,0,0,0,0,0,0,580,290,5,285,5,97,32.333333333333336
16,448,225,3,220,5,40,0.08928571428571429,29,17,3,9,8,38,1.3103448275862069,0,0,0,0,0,0,,0,0,0,0,0,0,0,477,242,6,229,13,78,26.0
17,529,262,10,257,5,32,0.06049149338374291,41,23,0,18,5,24,0.5853658536585366,0,0,0,0,0,0,,0,0,0,0,0,0,0,570,285,10,275,10,56,18.666666666666668
18,695,362,9,324,38,272,0.39136690647482014,42,24,4,14,10,23,0.5476190476190477,0,0,0,0,0,0,,0,0,0,0,0,0,0,737,386,13,338,48,295,98.33333333333333
19,731,355,14,362,-7,-8,-0.01094391244870041,51,21,2,28,-7,-52,-1.0196078431372548,0,0,0,0,0,0,,0,0,0,0,0,0,0,782,376,16,390,-14,-60,-20.0
20,666,331,13,322,9,13,0.01951951951951952,58,25,1,32,-7,-4,-0.06896551724137931,0,0,0,0,0,0,,0,0,0,0,0,0,0,724,356,14,354,2,9,3.0
21,634,303,11,320,-17,-208,-0.3280757097791798,35,16,2,17,-1,-10,-0.2857142857142857,0,0,0,0,0,0,,0,0,0,0,0,0,0,669,319,13,337,-18,-218,-72.66666666666667
22,567,255,13,299,-44,-287,-0.5061728395061729,28,9,0,19,-10,-56,-2.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,595,264,13,318,-54,-343,-114.33333333333333
23,562,276,10,276,0,8,0.014234875444839857,43,9,1,33,-24,-137,-3.186046511627907,0,0,0,0,0,0,,0,0,0,0,0,0,0,605,285,11,309,-24,-129,-43.0
