opponent_rating,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p
500,0,0,,0,0,,0,0,
520,0,0,,0,0,,0,0,
540,0,0,,0,0,,0,0,
560,0,0,,0,0,,0,0,
580,0,0,,0,0,,0,0,
600,1,2,1.0,0,0,,0,0,
620,0,0,,0,0,,0,0,
640,2,4,1.0,0,0,,0,0,
660,1,2,1.0,0,0,,0,0,
680,5,8,0.8,0,0,,0,0,
700,3,2,0.3333333333333333,0,0,,0,0,
720,6,8,0.6666666666666666,0,0,,0,0,
740,9,12,0.6666666666666666,0,0,,0,0,
760,8,12,0.75,1,2,1.0,0,0,
780,13,20,0.7692307692307693,3,4,0.6666666666666666,0,0,
800,11,12,0.5454545454545454,2,4,1.0,1,2,1.0
820,25,34,0.68,6,6,0.5,0,0,
840,21,24,0.5714285714285714,7,8,0.5714285714285714,0,0,
860,36,48,0.6666666666666666,4,6,0.75,0,0,
880,40,57,0.7125,12,10,0.4166666666666667,0,0,
900,66,86,0.6515151515151515,11,14,0.6363636363636364,0,0,
920,74,93,0.6283783783783784,20,24,0.6,0,0,
940,93,125,0.6720430107526881,28,37,0.6607142857142857,0,0,
960,99,112,0.5656565656565656,32,30,0.46875,0,0,
980,110,138,0.6272727272727273,44,47,0.5340909090909091,0,0,
1000,148,144,0.4864864864864865,56,68,0.6071428571428571,0,0,
1020,174,170,0.4885057471264368,73,79,0.541095890410959,1,2,1.0
1040,201,234,0.582089552238806,45,54,0.6,1,2,1.0
1060,205,191,0.4658536585365854,53,48,0.4528301886792453,3,6,1.0
1080,193,184,0.47668393782383417,54,54,0.5,0,0,
1100,216,204,0.4722222222222222,65,71,0.5461538461538461,1,2,1.0
1120,208,212,0.5096153846153846,44,40,0.45454545454545453,3,2,0.3333333333333333
1140,218,267,0.6123853211009175,39,44,0.5641025641025641,1,2,1.0
1160,255,272,0.5333333333333333,27,20,0.37037037037037035,3,6,1.0
1180,273,302,0.5531135531135531,16,19,0.59375,1,2,1.0
1200,302,325,0.5380794701986755,18,17,0.4722222222222222,9,14,0.7777777777777778
1220,385,408,0.5298701298701298,21,15,0.35714285714285715,10,6,0.3
1240,452,454,0.5022123893805309,24,34,0.7083333333333334,7,8,0.5714285714285714
1260,440,444,0.5045454545454545,28,29,0.5178571428571429,5,4,0.4
1280,452,477,0.5276548672566371,14,14,0.5,9,14,0.7777777777777778
1300,499,533,0.5340681362725451,13,16,0.6153846153846154,8,8,0.5
1320,618,626,0.5064724919093851,31,32,0.5161290322580645,3,2,0.3333333333333333
1340,671,705,0.5253353204172876,22,24,0.5454545454545454,4,4,0.5
1360,724,725,0.5006906077348067,23,26,0.5652173913043478,9,7,0.3888888888888889
1380,796,798,0.5012562814070352,34,31,0.45588235294117646,9,14,0.7777777777777778
1400,821,843,0.5133982947624848,48,47,0.4895833333333333,9,11,0.6111111111111112
1420,922,861,0.46691973969631234,39,49,0.6282051282051282,10,10,0.5
1440,781,735,0.470550576184379,53,46,0.4339622641509434,12,12,0.5
1460,664,585,0.44051204819277107,60,50,0.4166666666666667,14,16,0.5714285714285714
1480,579,541,0.46718480138169255,63,45,0.35714285714285715,6,9,0.75
1500,499,445,0.44589178356713427,70,77,0.55,13,8,0.3076923076923077
1520,359,278,0.3871866295264624,55,34,0.3090909090909091,11,12,0.5454545454545454
1540,208,156,0.375,61,48,0.39344262295081966,12,8,0.3333333333333333
1560,129,103,0.3992248062015504,45,41,0.45555555555555555,8,10,0.625
1580,134,86,0.3208955223880597,35,35,0.5,10,16,0.8
1600,89,49,0.2752808988764045,37,21,0.28378378378378377,10,9,0.45
1620,72,38,0.2638888888888889,29,15,0.25862068965517243,6,2,0.16666666666666666
1640,65,37,0.2846153846153846,28,19,0.3392857142857143,11,9,0.4090909090909091
1660,47,18,0.19148936170212766,19,8,0.21052631578947367,12,4,0.16666666666666666
1680,35,13,0.18571428571428572,8,3,0.1875,4,6,0.75
1700,13,2,0.07692307692307693,2,0,0.0,3,1,0.16666666666666666
1720,4,4,0.5,2,4,1.0,1,2,1.0
1740,5,2,0.2,1,0,0.0,1,2,1.0
1760,10,9,0.45,5,2,0.2,0,0,
1780,3,2,0.3333333333333333,3,3,0.5,1,0,0.0
1800,6,0,0.0,3,0,0.0,0,0,
1820,11,2,0.09090909090909091,2,0,0.0,0,0,
1840,8,0,0.0,2,0,0.0,3,0,0.0
1860,2,0,0.0,2,0,0.0,0,0,
1880,11,2,0.09090909090909091,2,2,0.5,0,0,
1900,8,2,0.125,2,2,0.5,1,0,0.0
1920,3,4,0.6666666666666666,3,2,0.3333333333333333,0,0,
1940,3,0,0.0,1,1,0.5,0,0,
1960,5,0,0.0,0,0,,0,0,
1980,2,0,0.0,1,0,0.0,0,0,
2000,2,0,0.0,1,0,0.0,0,0,
2020,4,4,0.5,2,0,0.0,0,0,
2040,1,0,0.0,0,0,,0,0,
2060,3,0,0.0,2,0,0.0,0,0,
2080,1,0,0.0,0,0,,0,0,
2100,1,0,0.0,0,0,,0,0,
2120,0,0,,0,0,,0,0,
2140,1,0,0.0,1,0,0.0,0,0,
2160,1,0,0.0,2,0,0.0,0,0,
2180,1,0,0.0,1,0,0.0,0,0,
2200,0,0,,0,0,,0,0,
2220,1,0,0.0,2,0,0.0,0,0,
2240,0,0,,0,0,,0,0,
2260,1,0,0.0,0,0,,0,0,
2280,0,0,,0,0,,0,0,
2300,0,0,,1,0,0.0,0,0,
2320,1,0,0.0,0,0,,0,0,
2340,0,0,,0,0,,0,0,
2360,1,0,0.0,0,0,,0,0,
2380,0,0,,0,0,,0,0,
2400,1,0,0.0,1,0,0.0,0,0,
2420,0,0,,0,0,,0,0,
2440,1,0,0.0,0,0,,0,0,
2460,0,0,,0,0,,0,0,
2480,0,0,,0,0,,0,0,
2500,0,0,,0,0,,0,0,
2520,0,0,,0,0,,0,0,
2540,0,0,,0,0,,0,0,
2560,0,0,,0,0,,0,0,
2580,2,0,0.0,0,0,,0,0,
2600,0,0,,0,0,,0,0,
2620,0,0,,0,0,,0,0,
2640,0,0,,0,0,,0,0,
2660,1,0,0.0,0,0,,0,0,
2680,0,0,,0,0,,0,0,
2700,0,0,,0,0,,0,0,
2720,0,0,,0,0,,0,0,
2740,0,0,,0,0,,0,0,
2760,0,0,,0,0,,0,0,
2780,0,0,,0,0,,0,0,
2800,0,0,,0,0,,0,0,
