rating_difference,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p,classical_g,classical_r,classical_p
-1500,0,0,,0,0,,0,0,,0,0,0
-1480,0,0,,0,0,,0,0,,0,0,0
-1460,0,0,,0,0,,0,0,,0,0,0
-1440,0,0,,0,0,,0,0,,0,0,0
-1420,0,0,,0,0,,0,0,,0,0,0
-1400,0,0,,0,0,,0,0,,0,0,0
-1380,0,0,,0,0,,0,0,,0,0,0
-1360,0,0,,0,0,,0,0,,0,0,0
-1340,0,0,,0,0,,0,0,,0,0,0
-1320,0,0,,0,0,,0,0,,0,0,0
-1300,0,0,,0,0,,0,0,,0,0,0
-1280,0,0,,0,0,,0,0,,0,0,0
-1260,0,0,,0,0,,0,0,,0,0,0
-1240,0,0,,0,0,,0,0,,0,0,0
-1220,0,0,,0,0,,0,0,,0,0,0
-1200,0,0,,0,0,,0,0,,0,0,0
-1180,0,0,,0,0,,0,0,,0,0,0
-1160,0,0,,0,0,,0,0,,0,0,0
-1140,0,0,,0,0,,0,0,,0,0,0
-1120,0,0,,0,0,,0,0,,0,0,0
-1100,0,0,,0,0,,0,0,,0,0,0
-1080,0,0,,0,0,,0,0,,0,0,0
-1060,0,0,,0,0,,0,0,,0,0,0
-1040,0,0,,0,0,,0,0,,0,0,0
-1020,0,0,,0,0,,0,0,,0,0,0
-1000,0,0,,0,0,,0,0,,0,0,0
-980,0,0,,0,0,,0,0,,0,0,0
-960,0,0,,0,0,,0,0,,0,0,0
-940,0,0,,1,2,1.0,0,0,,0,0,0
-920,0,0,,0,0,,0,0,,0,0,0
-900,0,0,,0,0,,0,0,,0,0,0
-880,2,4,1.0,0,0,,0,0,,0,0,0
-860,1,2,1.0,0,0,,0,0,,0,0,0
-840,1,2,1.0,0,0,,0,0,,0,0,0
-820,1,2,1.0,0,0,,0,0,,0,0,0
-800,1,2,1.0,0,0,,1,2,1.0,0,0,0
-780,2,4,1.0,0,0,,0,0,,0,0,0
-760,0,0,,0,0,,0,0,,0,0,0
-740,1,2,1.0,0,0,,0,0,,0,0,0
-720,0,0,,0,0,,0,0,,0,0,0
-700,0,0,,1,2,1.0,1,2,1.0,0,0,0
-680,1,2,1.0,0,0,,0,0,,0,0,0
-660,4,6,0.75,0,0,,0,0,,0,0,0
-640,2,4,1.0,1,2,1.0,0,0,,0,0,0
-620,1,2,1.0,0,0,,0,0,,0,0,0
-600,2,4,1.0,0,0,,0,0,,0,0,0
-580,3,4,0.6666666666666666,1,2,1.0,0,0,,0,0,0
-560,7,14,1.0,0,0,,0,0,,0,0,0
-540,5,10,1.0,2,3,0.75,0,0,,0,0,0
-520,4,8,1.0,3,6,1.0,0,0,,0,0,0
-500,5,6,0.6,1,2,1.0,1,2,1.0,0,0,0
-480,7,12,0.8571428571428571,1,2,1.0,0,0,,0,0,0
-460,2,4,1.0,2,4,1.0,0,0,,0,0,0
-440,6,12,1.0,5,6,0.6,2,4,1.0,0,0,0
-420,20,26,0.65,4,6,0.75,0,0,,0,0,0
-400,8,12,0.75,2,4,1.0,1,2,1.0,0,0,0
-380,16,28,0.875,2,4,1.0,2,4,1.0,0,0,0
-360,10,14,0.7,6,12,1.0,3,6,1.0,0,0,0
-340,19,30,0.7894736842105263,3,6,1.0,0,0,,0,0,0
-320,24,40,0.8333333333333334,1,0,0.0,1,0,0.0,0,0,0
-300,19,33,0.868421052631579,5,8,0.8,1,2,1.0,0,0,0
-280,26,34,0.6538461538461539,6,10,0.8333333333333334,5,6,0.6,0,0,0
-260,31,56,0.9032258064516129,2,4,1.0,4,8,1.0,0,0,0
-240,34,59,0.8676470588235294,3,6,1.0,2,4,1.0,0,0,0
-220,37,54,0.7297297297297297,10,14,0.7,2,2,0.5,0,0,0
