,bullet,blitz,rapid,classical
2021-05-01,7,3,0,0
2021-05-02,0,0,0,0
2021-05-03,0,0,0,0
2021-05-04,0,0,0,0
2021-05-05,2,3,0,0
2021-05-06,0,0,0,0
2021-05-07,6,0,0,0
2021-05-08,3,0,0,0
2021-05-09,10,0,0,0
2021-05-10,5,7,0,0
2021-05-11,10,10,0,0
2021-05-12,3,2,0,0
2021-05-13,0,0,0,0
2021-05-14,28,0,0,0
2021-05-15,9,3,0,0
2021-05-16,7,2,0,0
2021-05-17,0,0,0,0
2021-05-18,4,0,0,0
2021-05-19,1,0,0,0
2021-05-20,18,1,0,0
2021-05-21,1,6,0,0
2021-05-22,1,31,3,0
2021-05-23,1,22,0,0
2021-05-24,0,22,0,0
2021-05-25,23,26,0,0
2021-05-26,0,0,0,0
2021-05-27,52,0,0,0
2021-05-28,7,6,0,0
2021-05-29,0,12,0,0
2021-05-30,0,16,0,0
2021-05-31,8,5,1,0
2021-06-01,3,5,0,0
2021-06-02,0,0,0,0
2021-06-03,4,5,0,0
2021-06-04,14,3,0,0
2021-06-05,5,4,0,0
2021-06-06,3,3,0,0
2021-06-07,27,9,0,0
2021-06-08,9,5,0,0
2021-06-09,35,0,0,0
2021-06-10,13,1,0,0
2021-06-11,55,3,0,1
2021-06-12,7,0,0,0
2021-06-13,9,3,1,0
2021-06-14,5,14,0,0
2021-06-15,0,0,0,0
2021-06-16,1,0,0,0
2021-06-17,18,0,0,0
2021-06-18,0,20,0,0
2021-06-19,0,33,0,0
2021-06-20,20,3,0,0
2021-06-21,45,0,0,0
2021-06-22,42,1,0,0
2021-06-23,29,3,0,0
2021-06-24,12,2,0,0
2021-06-25,9,14,0,0
2021-06-26,36,0,0,0
2021-06-27,3,0,0,0
2021-06-28,45,0,0,0
2021-06-29,28,3,0,0
2021-06-30,21,19,0,0
2021-07-01,5,19,0,0
2021-07-02,8,0,0,0
2021-07-03,11,10,0,0
2021-07-04,16,2,0,0
2021-07-05,3,16,0,0
2021-07-06,4,0,0,0
2021-07-07,5,3,0,0
2021-07-08,11,9,0,0
2021-07-09,7,9,0,0
2021-07-10,0,0,0,0
2021-07-11,19,5,0,0
2021-07-12,13,6,0,0
2021-07-13,9,8,1,0
2021-07-14,15,4,0,0
2021-07-15,2,0,0,0
2021-07-16,3,0,0,0
2021-07-17,15,3,0,0
2021-07-18,5,0,0,0
2021-07-19,73,0,0,0
2021-07-20,31,1,0,0
2021-07-21,9,8,0,0
2021-07-22,25,18,0,0
2021-07-23,3,6,2,0
2021-07-24,61,5,0,0
2021-07-25,5,13,0,0
2021-07-26,6,4,0,0
2021-07-27,69,19,0,0
2021-07-28,4,0,0,0
2021-07-29,26,2,0,0
2021-07-30,10,14,0,0
2021-07-31,104,0,0,0
2021-08-01,8,11,0,0
2021-08-02,20,0,0,0
2021-08-03,23,0,0,0
2021-08-04,26,23,0,0
2021-08-05,20,8,0,0
2021-08-06,0,18,0,0
2021-08-07,33,4,0,0
2021-08-08,33,0,0,0
2021-08-09,7,0,0,0
2021-08-10,1,2,1,0
2021-08-11,5,10,0,0
2021-08-12,5,28,0,0
2021-08-13,12,1,0,0
