date,bullet_min,bullet_max,bullet_mean,blitz_min,blitz_max,blitz_mean,rapid_min,rapid_max,rapid_mean,classical_min,classical_max,classical_mean
2021-05-01,754.0,763.0,760.0,905.0,916.0,910.3333333333334,,,,,,
2021-05-02,,,,,,,,,,,,
2021-05-03,,,,,,,,,,,,
2021-05-04,,,,,,,,,,,,
2021-05-05,769.0,777.0,773.0,925.0,937.0,930.6666666666666,,,,,,
2021-05-06,,,,,,,,,,,,
2021-05-07,775.0,790.0,783.5,,,,,,,,,
2021-05-08,786.0,801.0,794.0,,,,,,,,,
2021-05-09,797.0,817.0,808.4,,,,,,,,,
2021-05-10,814.0,821.0,818.4,925.0,942.0,933.2857142857144,,,,,,
2021-05-11,816.0,846.0,832.2,930.0,951.0,941.8,,,,,,
2021-05-12,843.0,851.0,847.0,961.0,973.0,967.0,,,,,,
2021-05-13,,,,,,,,,,,,
2021-05-14,833.0,862.0,843.8214285714286,,,,,,,,,
2021-05-15,833.0,857.0,846.1111111111111,961.0,968.0,965.3333333333334,,,,,,
2021-05-16,838.0,857.0,848.5714285714286,965.0,971.0,968.0,,,,,,
2021-05-17,,,,,,,,,,,,
2021-05-18,858.0,871.0,864.0,,,,,,,,,
2021-05-19,877.0,877.0,877.0,,,,,,,,,
2021-05-20,880.0,926.0,898.5,976.0,976.0,976.0,,,,,,
2021-05-21,932.0,932.0,932.0,960.0,970.0,964.6666666666666,,,,,,
2021-05-22,931.0,931.0,931.0,917.0,967.0,937.6129032258063,1333.0,1388.0,1356.3333333333333,,,
2021-05-23,938.0,938.0,938.0,929.0,953.0,939.681818181818,,,,,,
2021-05-24,,,,950.0,998.0,968.818181818182,,,,,,
2021-05-25,905.0,933.0,920.0434782608696,941.0,974.0,956.8846153846154,,,,,,
2021-05-26,,,,,,,,,,,,
2021-05-27,886.0,930.0,910.7884615384615,,,,,,,,,
2021-05-28,926.0,939.0,932.2857142857144,935.0,943.0,938.5,,,,,,
2021-05-29,,,,921.0,947.0,931.8333333333334,,,,,,
2021-05-30,,,,935.0,959.0,947.0625,,,,,,
2021-05-31,931.0,954.0,945.5,953.0,970.0,961.2,1385.0,1385.0,1385.0,,,
2021-06-01,960.0,969.0,964.6666666666666,969.0,984.0,975.8,,,,,,
2021-06-02,,,,,,,,,,,,
2021-06-03,969.0,978.0,973.75,978.0,991.0,985.8,,,,,,
2021-06-04,956.0,984.0,968.7142857142856,992.0,1000.0,996.6666666666666,,,,,,
2021-06-05,977.0,991.0,984.2,995.0,1011.0,1003.0,,,,,,
2021-06-06,999.0,1010.0,1004.6666666666666,1017.0,1028.0,1022.3333333333334,,,,,,
2021-06-07,995.0,1025.0,1007.2222222222222,1020.0,1038.0,1028.5555555555557,,,,,,
2021-06-08,1025.0,1040.0,1031.111111111111,1043.0,1055.0,1048.0,,,,,,
2021-06-09,994.0,1039.0,1014.5142857142856,,,,,,,,,
2021-06-10,1011.0,1029.0,1020.2307692307692,1055.0,1055.0,1055.0,,,,,,
2021-06-11,979.0,1035.0,1005.9454545454546,1052.0,1054.0,1053.0,,,,,,
2021-06-12,993.0,1026.0,1009.8571428571428,,,,,,,,,
2021-06-13,1021.0,1036.0,1029.111111111111,1058.0,1070.0,1063.6666666666667,1434.0,1434.0,1434.0,,,
2021-06-14,1033.0,1050.0,1042.2,1052.0,1070.0,1063.2857142857142,,,,,,
2021-06-15,,,,,,,,,,,,
2021-06-16,1057.0,1057.0,1057.0,,,,,,,,,
2021-06-17,1047.0,1071.0,1055.9444444444443,,,,,,,,,
2021-06-18,,,,1032.0,1065.0,1052.3,,,,,,
2021-06-19,,,,998.0,1050.0,1024.6363636363635,,,,,,
2021-06-20,1014.0,1083.0,1043.7,1001.0,1008.0,1005.3333333333334,,,,,,
2021-06-21,986.0,1043.0,1018.5333333333332,,,,,,,,,
2021-06-22,982.0,1019.0,999.190476190476,1014.0,1014.0,1014.0,,,,,,
2021-06-23,956.0,997.0,974.8620689655172,1013.0,1024.0,1016.6666666666666,,,,,,
2021-06-24,984.0,1007.0,993.5833333333334,1028.0,1033.0,1030.5,,,,,,
2021-06-25,1001.0,1023.0,1014.5555555555557,994.0,1028.0,1012.5714285714286,,,,,,
2021-06-26,981.0,1019.0,998.9166666666666,,,,,,,,,
2021-06-27,996.0,1005.0,1000.6666666666666,,,,,,,,,
2021-06-28,937.0,1007.0,968.4888888888888,,,,,,,,,
2021-06-29,935.0,961.0,946.5357142857144,1022.0,1035.0,1028.0,,,,,,
2021-06-30,954.0,981.0,964.7142857142856,998.0,1028.0,1010.4736842105264,,,,,,
2021-07-01,962.0,975.0,969.6,1006.0,1031.0,1016.0526315789474,,,,,,
2021-07-02,976.0,988.0,982.25,,,,,,,,,
2021-07-03,982.0,1001.0,991.7272727272727,1029.0,1045.0,1035.6,,,,,,
2021-07-04,981.0,1009.0,992.5625,1029.0,1036.0,1032.5,,,,,,
2021-07-05,1016.0,1028.0,1022.3333333333334,1020.0,1036.0,1028.0,,,,,,
2021-07-06,1035.0,1042.0,1038.0,,,,,,,,,
2021-07-07,1036.0,1055.0,1046.0,1023.0,1029.0,1026.6666666666667,,,,,,
2021-07-08,1037.0,1063.0,1047.7272727272727,1032.0,1046.0,1037.5555555555557,,,,,,
2021-07-09,1066.0,1083.0,1073.2857142857142,1050.0,1062.0,1055.6666666666667,,,,,,
2021-07-10,,,,,,,,,,,,
2021-07-11,1045.0,1078.0,1060.6315789473683,1063.0,1082.0,1071.6,,,,,,
2021-07-12,1043.0,1079.0,1058.4615384615386,1054.0,1076.0,1064.3333333333333,,,,,,
2021-07-13,1048.0,1074.0,1060.5555555555557,1060.0,1085.0,1069.25,1509.0,1509.0,1509.0,,,
2021-07-14,1058.0,1087.0,1069.6666666666667,1080.0,1095.0,1086.75,,,,,,
2021-07-15,1076.0,1082.0,1079.0,,,,,,,,,
2021-07-16,1060.0,1071.0,1065.3333333333333,,,,,,,,,
2021-07-17,1063.0,1078.0,1070.6666666666667,1097.0,1106.0,1101.3333333333333,,,,,,
2021-07-18,1080.0,1094.0,1086.2,,,,,,,,,
2021-07-19,1023.0,1102.0,1053.5753424657537,,,,,,,,,
2021-07-20,1055.0,1098.0,1079.516129032258,1114.0,1114.0,1114.0,,,,,,
2021-07-21,1079.0,1111.0,1094.111111111111,1101.0,1123.0,1112.125,,,,,,
2021-07-22,1099.0,1129.0,1112.88,1107.0,1125.0,1116.888888888889,,,,,,
2021-07-23,1135.0,1146.0,1140.3333333333333,1115.0,1141.0,1126.3333333333333,1443.0,1466.0,1454.5,,,
2021-07-24,1099.0,1151.0,1121.950819672131,1135.0,1139.0,1137.0,,,,,,
2021-07-25,1152.0,1174.0,1163.0,1116.0,1143.0,1129.5384615384614,,,,,,
2021-07-26,1161.0,1186.0,1172.6666666666667,1143.0,1156.0,1149.75,,,,,,
2021-07-27,1128.0,1187.0,1154.0,1136.0,1164.0,1147.5263157894738,,,,,,
2021-07-28,1149.0,1167.0,1158.5,,,,,,,,,
2021-07-29,1128.0,1168.0,1147.076923076923,1159.0,1164.0,1161.5,,,,,,
2021-07-30,1154.0,1179.0,1166.2,1148.0,1170.0,1160.071428571429,,,,,,
2021-07-31,1091.0,1175.0,1132.5,,,,,,,,,
2021-08-01,1094.0,1106.0,1100.25,1127.0,1147.0,1136.8181818181818,,,,,,
2021-08-02,1089.0,1112.0,1098.2,,,,,,,,,
2021-08-03,1052.0,1089.0,1069.1304347826087,,,,,,,,,
2021-08-04,1037.0,1066.0,1051.076923076923,1090.0,1125.0,1110.3478260869565,,,,,,
2021-08-05,1032.0,1068.0,1053.8,1121.0,1134.0,1126.625,,,,,,
2021-08-06,,,,1117.0,1139.0,1126.2777777777778,,,,,,
2021-08-07,1030.0,1086.0,1057.8484848484848,1130.0,1145.0,1136.75,,,,,,
2021-08-08,1025.0,1065.0,1050.060606060606,,,,,,,,,
2021-08-09,1067.0,1085.0,1075.0,,,,,,,,,
2021-08-10,1093.0,1093.0,1093.0,1131.0,1138.0,1134.5,1407.0,1407.0,1407.0,,,
2021-08-11,1087.0,1101.0,1093.0,1124.0,1137.0,1130.0,,,,,,
2021-08-12,1106.0,1113.0,1109.4,1119.0,1158.0,1138.107142857143,,,,,,
2021-08-13,1090.0,1125.0,1105.8333333333333,1115.0,1115.0,1115.0,,,,,,
2021-08-14,1071.0,1135.0,1103.5172413793102,,,,,,,,,
2021-08-15,1130.0,1161.0,1144.1612903225807,1090.0,1130.0,1108.2777777777778,,,,,,
2021-08-16,1143.0,1175.0,1154.7446808510638,,,,,,,,,
2021-08-17,1180.0,1192.0,1186.0,1123.0,1134.0,1129.75,,,,,,
2021-08-18,1175.0,1201.0,1187.8333333333333,1123.0,1158.0,1135.0,,,,,,
2021-08-19,1195.0,1213.0,1204.0,1149.0,1165.0,1157.5,,,,,,
2021-08-20,1202.0,1214.0,1208.5,1166.0,1177.0,1171.25,1367.0,1367.0,1367.0,,,
2021-08-21,,,,,,,,,,,,
2021-08-22,1216.0,1227.0,1220.6,1182.0,1188.0,1185.0,,,,,,
2021-08-23,1189.0,1228.0,1212.357142857143,,,,,,,,,
2021-08-24,1165.0,1200.0,1181.9032258064517,,,,,,,,,
2021-08-25,1168.0,1195.0,1181.9583333333333,,,,,,,,,
2021-08-26,1049.0,1185.0,1094.7176470588236,,,,,,,,,
2021-08-27,1024.0,1097.0,1055.9607843137255,,,,,,,,,
2021-08-28,1028.0,1098.0,1067.3333333333333,1182.0,1187.0,1184.5,,,,,,
2021-08-29,,,,,,,,,,,,
2021-08-30,1029.0,1071.0,1045.6363636363635,,,,,,,,,
2021-08-31,1040.0,1087.0,1060.6290322580646,,,,,,,,,
2021-09-01,1030.0,1056.0,1041.9565217391305,,,,,,,,,
2021-09-02,1010.0,1055.0,1035.054054054054,,,,,,,,,
2021-09-03,1010.0,1038.0,1022.2727272727273,,,,,,,,,
2021-09-04,1036.0,1068.0,1051.25,,,,,,,,,
2021-09-05,1061.0,1106.0,1081.0526315789473,1191.0,1200.0,1195.5,,,,,,
2021-09-06,,,,,,,,,,,,
2021-09-07,1099.0,1127.0,1115.125,,,,,,,,,
2021-09-08,1126.0,1132.0,1129.3333333333333,1198.0,1214.0,1208.0,,,,,,
2021-09-09,1126.0,1155.0,1139.0,,,,,,,,,
2021-09-10,1150.0,1169.0,1159.25,1206.0,1224.0,1214.25,,,,,,
2021-09-11,1163.0,1180.0,1172.0,1218.0,1247.0,1228.125,,,,,,
2021-09-12,,,,,,,,,,,,
2021-09-13,1138.0,1183.0,1164.5625,,,,,,,,,
2021-09-14,1177.0,1205.0,1190.3333333333333,,,,,,,,,
2021-09-15,1132.0,1199.0,1162.925925925926,1256.0,1280.0,1269.75,,,,,,
2021-09-16,1124.0,1183.0,1157.0526315789473,,,,,,,,,
2021-09-17,1164.0,1196.0,1181.0416666666667,,,,,,,,,
2021-09-18,1177.0,1216.0,1197.0,1264.0,1289.0,1276.391304347826,1374.0,1374.0,1374.0,,,
2021-09-19,,,,1277.0,1301.0,1286.2857142857142,1257.0,1339.0,1286.111111111111,,,
2021-09-20,,,,,,,,,,,,
2021-09-21,1206.0,1229.0,1218.842105263158,,,,,,,,,
2021-09-22,1234.0,1254.0,1241.3,1273.0,1312.0,1293.642857142857,,,,,,
2021-09-23,1189.0,1268.0,1236.6808510638298,,,,,,,,,
2021-09-24,1186.0,1210.0,1197.6666666666667,1280.0,1304.0,1292.6,,,,,,
2021-09-25,,,,,,,,,,,,
