date,id,variant,time,pre_rating,rating,difference,result,points,color,opponent,op_username,op_difference,moves_count,moves,opening
2021-05-01,6gfrHMn0,bullet,17:57,763,762.0,-1,loss,-1,black,1500,AugusR,738.0,30,e4 c5 Nf3 Nf6 Bb5 a6 Bd3 Nc6 Nc3 d6 O-O Ne5 Nxe5 dxe5 h3 b5 Nd5 Be6 Nxf6+ exf6 Be2 f5 exf5 Bxf5 Bg4 Bxg4 Qxg4 Be7 Qxg7 Rf8 d3 e4 Re1 Qd6 dxe4 Bd8 Bh6 Bc7 e5 Qd4 Qxf8+ Kd7 Qxf7+ Kc6 Qf6+ Kd5 Rad1 Bxe5 Rxd4+ Kxd4 Qxe5+ Kc4 Qc3+ Kd5 Qd3+ Kc6 Re6+ Kb7 Qd7+ Kb8 Re8#,B29
2021-05-01,xMLZJZFO,bullet,18:01,762,761.0,-1,loss,-1,white,1519,AugusR,758.0,46,e4 c5 Nf3 d6 d3 Bg4 h3 Be6 Nc3 g6 Nd5 Bg7 d4 cxd4 Bb5+ Nc6 e5 Bxe5 Nxe5 dxe5 O-O Nf6 Nxf6+ exf6 Bxc6+ bxc6 Bh6 Qb6 Qf3 f5 Rae1 e4 Qf4 Qxb2 Qe5 Rd8 Qf6 Kd7 g4 Rhe8 Bf4 Bc4 Qxd4+ Qxd4 Rd1 Bxf1 Rxd4+ Kc8 Rxd8+ Rxd8 Kxf1 Rd1+ Kg2 Ra1 Be3 Rxa2 Bxa7 Rxa7 gxf5 gxf5 h4 Ra2 h5 Rxc2 h6 c5 Kh3 Rxf2 Kh4 Rh2+ Kg5 Rg2+ Kf6 c4 Kxf7 c3 Kf6 c2 Kxf5 c1=Q Kxe4 Qd1 Ke5 Re2+ Kf6 Qf1+ Kg7 Rg2+ Kxh7 Qh1 Kh8 Qxh6#,B50
2021-05-01,kObeWCG9,bullet,18:06,761,761.0,0,loss,-1,black,1535,AugusR,774.0,12,e4 c6 Nf3 d5 exd5 cxd5 h3 e5 Bb5+ Nd7 Nxe5 Bc5 Qf3 Qg5 Qxf7+ Kd8 Nxd7 Kc7 Nxc5+ Kb8 O-O Bxh3 Qxb7#,B10
2021-05-01,ZT4qNGyV,blitz,18:09,906,905.0,-1,loss,-1,white,1481,AugusR,576.0,35,d4 d5 c4 dxc4 Nc3 Nf6 e4 Nc6 Bxc4 Qxd4 Qxd4 Nxd4 Bb3 e6 Be3 Nxb3 axb3 b6 Nge2 Bb4 O-O h6 Ra4 Ba5 Rd1 O-O b4 b5 Bc5 bxa4 Bxf8 Bb6 Be7 Ng4 Rd8+ Kh7 Kh1 c5 Nf4 cxb4 Nxa4 Nxf2+ Kg1 Nxe4+ Kf1 Ba6+ Ke1 Bxd8 Bxb4 Rc8 Nc5 Nxc5 Bc3 Ne4 Nh5 Nxc3 bxc3 Rxc3 Kd2 Ba5 h4 Ra3+ Kc2 Ra2+ Kb1 Rxg2 Nf4 Rf2 h5 Rxf4,D20
2021-05-01,RJTfVJA9,blitz,22:42,905,910.0,5,win,1,white,798,shivuhs,-112.0,22,e4 e5 Nf3 f5 Nxe5 Nf6 d4 fxe4 c4 d5 c5 Bg4 Qa4+ c6 Bg5 h5 h3 e3 fxe3 b5 Qc2 Qa5+ Nc3 b4 hxg4 bxc3 bxc3 hxg4 Rxh8 Nbd7 Nxd7 Kxd7 Qf5+ Ke7 Bxf6+ gxf6 Rh7+ Bg7 Rxg7+ Kf8 Qxf6+ Ke8 Qe7#,C40
2021-05-01,6k0MK545,bullet,22:48,761,757.0,-4,loss,-1,white,903,majsko,146.0,14,e4 e5 Nf3 Nc6 Bb5 Bc5 d4 Nf6 dxc5 Nxe4 Nxe5 Nxc5 Nxc6 dxc6 Qe2+ Be6 O-O O-O Qe5 cxb5 Re1 Nd7 Qxb5 c6 Qc5 Nxc5 Rxe6 Nxe6,C64
2021-05-01,TTC0Pygc,bullet,22:50,757,762.0,5,win,1,black,681,FrancoBetancourt,-81.0,12,d4 c6 e4 d5 exd5 cxd5 Nc3 Nf6 Bd2 Bg4 Qxg4 Nxg4 Nxd5 Ne5 Nf6+ exf6 Bb4 Bxb4+ Ke2 Qxd4 Nf3 Nxf3 gxf3 Qd2#,B13
2021-05-01,AKGaIwFa,bullet,22:52,762,754.0,-8,loss,-1,black,712,PANAMAsammy,-42.0,16,b3 c6 Bb2 d6 g3 e5 Bg2 c5 e3 Nf6 f4 Bg4 Bf3 Bxf3 Qxf3 e4 Qg2 Qb6 Bxf6 gxf6 Qxe4+ Be7 Nc3 Qb4 Nd5 Qxe4 Nc7+ Kf8 Nxa8 Qxh1 O-O-O Qf3 Nxf3,A01
2021-05-01,o0Rc1pzX,bullet,22:54,754,763.0,9,win,1,white,843,babayagaJW,80.0,10,e4 e5 Nf3 Nf6 d3 Bc5 Qe2 h5 g3 Ng4 d4 exd4 Nxd4 Bxd4 Qc4 Bxb2 Bxb2 O-O Qc3 Re8 Qxg7#,C42
2021-05-01,cXIac8Vc,blitz,23:00,910,916.0,6,win,1,white,830,grOssLiche,-86.0,24,e4 g6 Nf3 b6 Nc3 Ba6 d3 Bh6 Bxh6 Nxh6 Ng5 Rg8 d4 e6 Bxa6 Nxa6 d5 Qxg5 O-O exd5 Nxd5 Nc5 Nxc7+ Ke7 Nxa8 Rxa8 Qd4 Ne6 Qb4+ Kf6 Rad1 Rd8 Rd6 Nf5 Qc3+ Ke7 Rxe6+ Kxe6 exf5+ Kxf5 Qd3+ Kg4 h3+ Kh5 g4+ Kh4 Qg3#,B06
