hours,bullet_g,bullet_w,bullet_d,bullet_l,bullet_res,bullet_diff,bullet_diff_avg,blitz_g,blitz_w,blitz_d,blitz_l,blitz_res,blitz_diff,blitz_diff_avg,rapid_g,rapid_w,rapid_d,rapid_l,rapid_res,rapid_diff,rapid_diff_avg,_g,_w,_d,_l,_res,_diff,_diff_avg
00,267,132,4,131,1,14,0.052434456928838954,2,1,0,1,0,3,1.5,0,0,0,0,0,0,,269,133,4,132,1,17,5.666666666666667
01,144,73,1,70,3,2,0.013888888888888888,0,0,0,0,0,0,,0,0,0,0,0,0,,144,73,1,70,3,2,0.6666666666666666
02,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.0
03,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.0
04,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.0
05,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.0
06,20,8,0,12,-4,-21,-1.05,2,0,0,2,-2,-11,-5.5,0,0,0,0,0,0,,22,8,0,14,-6,-32,-10.666666666666666
07,64,30,1,33,-3,5,0.078125,5,2,0,3,-1,-7,-1.4,0,0,0,0,0,0,,69,32,1,36,-4,-2,-0.6666666666666666
08,67,26,2,39,-13,-61,-0.9104477611940298,0,0,0,0,0,0,,0,0,0,0,0,0,,67,26,2,39,-13,-61,-20.333333333333332
09,244,111,6,127,-16,-88,-0.36065573770491804,8,5,0,3,2,19,2.375,2,1,0,1,0,5,2.5,254,117,6,131,-14,-64,-21.333333333333332
10,419,215,6,198,17,119,0.2840095465393795,7,3,2,2,1,9,1.2857142857142858,0,0,0,0,0,0,,426,218,8,200,18,128,42.666666666666664
11,693,327,9,357,-30,2,0.002886002886002886,29,20,1,8,12,79,2.7241379310344827,10,5,0,5,0,63,6.3,732,352,10,370,-18,144,48.0
12,556,273,11,272,1,77,0.13848920863309352,30,16,1,13,3,38,1.2666666666666666,1,1,0,0,1,20,20.0,587,290,12,285,5,135,45.0
13,349,173,5,171,2,26,0.07449856733524356,5,2,0,3,-1,-1,-0.2,2,2,0,0,2,29,14.5,356,177,5,174,3,54,18.0
14,1837,895,30,912,-17,-60,-0.0326619488296135,151,67,7,77,-10,26,0.17218543046357615,78,34,7,37,-3,55,0.7051282051282052,2066,996,44,1026,-30,21,7.0
15,2070,954,33,1083,-129,-40,-0.01932367149758454,226,107,10,109,-2,60,0.26548672566371684,34,14,2,18,-4,39,1.1470588235294117,2330,1075,45,1210,-135,59,19.666666666666668
16,826,401,8,417,-16,75,0.09079903147699758,189,87,6,96,-9,100,0.5291005291005291,4,2,0,2,0,41,10.25,1019,490,14,515,-25,216,72.0
17,714,369,8,337,32,255,0.35714285714285715,108,51,4,53,-2,75,0.6944444444444444,10,4,0,6,-2,-66,-6.6,832,424,12,396,28,264,88.0
18,990,500,15,475,25,214,0.21616161616161617,130,53,9,68,-15,48,0.36923076923076925,49,20,1,28,-8,-58,-1.183673469387755,1169,573,25,571,2,204,68.0
19,1842,893,31,918,-25,384,0.20846905537459284,208,94,5,109,-15,11,0.052884615384615384,18,7,1,10,-3,28,1.5555555555555556,2068,994,37,1037,-43,423,141.0
20,1484,726,18,740,-14,234,0.15768194070080863,407,176,15,216,-40,93,0.2285012285012285,2,1,0,1,0,-27,-13.5,1893,903,33,957,-54,300,100.0
21,130,60,0,70,-10,-29,-0.2230769230769231,19,7,2,10,-3,1,0.05263157894736842,4,3,0,1,2,14,3.5,153,70,2,81,-11,-14,-4.666666666666667
22,867,408,11,448,-40,-114,-0.1314878892733564,44,22,0,22,0,7,0.1590909090909091,48,31,0,17,14,90,1.875,959,461,11,487,-26,-17,-5.666666666666667
23,756,335,5,416,-81,-259,-0.3425925925925926,14,7,1,6,1,14,1.0,7,4,0,3,1,7,1.0,777,346,6,425,-79,-238,-79.33333333333333
