opponent_rating,bullet_g,bullet_r,bullet_p,blitz_g,blitz_r,blitz_p,rapid_g,rapid_r,rapid_p,classical_g,classical_r,classical_p
500,0,0,,0,0,,0,0,,0,0,0
520,0,0,,0,0,,0,0,,0,0,0
540,0,0,,0,0,,0,0,,0,0,0
560,0,0,,0,0,,0,0,,0,0,0
580,0,0,,0,0,,0,0,,0,0,0
600,0,0,,0,0,,0,0,,0,0,0
620,0,0,,0,0,,0,0,,0,0,0
640,0,0,,0,0,,0,0,,0,0,0
660,0,0,,0,0,,0,0,,0,0,0
680,0,0,,0,0,,0,0,,0,0,0
700,0,0,,0,0,,0,0,,0,0,0
720,0,0,,0,0,,0,0,,0,0,0
740,0,0,,0,0,,0,0,,0,0,0
760,0,0,,0,0,,0,0,,0,0,0
780,1,2,1.0,0,0,,0,0,,0,0,0
800,2,0,0.0,0,0,,0,0,,0,0,0
820,2,2,0.5,0,0,,0,0,,0,0,0
840,2,2,0.5,0,0,,0,0,,0,0,0
860,4,6,0.75,0,0,,0,0,,0,0,0
880,14,16,0.5714285714285714,0,0,,0,0,,0,0,0
900,15,21,0.7,0,0,,0,0,,0,0,0
920,19,22,0.5789473684210527,1,2,1.0,0,0,,0,0,0
940,35,38,0.5428571428571428,1,2,1.0,0,0,,0,0,0
960,36,42,0.5833333333333334,1,2,1.0,0,0,,0,0,0
980,42,48,0.5714285714285714,3,2,0.3333333333333333,0,0,,0,0,0
1000,65,67,0.5153846153846153,0,0,,0,0,,0,0,0
1020,98,100,0.5102040816326531,0,0,,0,0,,0,0,0
1040,91,97,0.532967032967033,4,8,1.0,0,0,,0,0,0
1060,128,136,0.53125,2,4,1.0,0,0,,0,0,0
1080,163,164,0.5030674846625767,0,0,,0,0,,0,0,0
1100,159,170,0.5345911949685535,2,2,0.5,0,0,,0,0,0
1120,205,176,0.4292682926829268,1,2,1.0,0,0,,0,0,0
1140,185,168,0.4540540540540541,1,2,1.0,0,0,,0,0,0
1160,191,202,0.5287958115183246,9,12,0.6666666666666666,0,0,,0,0,0
1180,167,175,0.5239520958083832,17,25,0.7352941176470589,0,0,,0,0,0
1200,175,163,0.4657142857142857,34,29,0.4264705882352941,0,0,,0,0,0
1220,143,115,0.4020979020979021,47,51,0.5425531914893617,0,0,,0,0,0
1240,104,110,0.5288461538461539,84,84,0.5,0,0,,0,0,0
1260,102,89,0.4362745098039216,123,141,0.573170731707317,0,0,,0,0,0
1280,92,90,0.4891304347826087,184,186,0.5054347826086957,0,0,,0,0,0
1300,59,48,0.4067796610169492,262,266,0.5076335877862596,0,0,,0,0,0
1320,75,64,0.4266666666666667,323,350,0.541795665634675,0,0,,0,0,0
1340,54,58,0.5370370370370371,375,373,0.49733333333333335,0,0,,0,0,0
1360,49,54,0.5510204081632653,450,450,0.5,0,0,,0,0,0
1380,31,24,0.3870967741935484,464,467,0.5032327586206896,0,0,,0,0,0
1400,11,5,0.22727272727272727,390,373,0.4782051282051282,0,0,,0,0,0
1420,13,7,0.2692307692307692,380,371,0.4881578947368421,0,0,,0,0,0
1440,8,8,0.5,333,312,0.46846846846846846,0,0,,0,0,0
1460,2,4,1.0,319,292,0.45768025078369906,0,0,,0,0,0
1480,4,0,0.0,235,221,0.4702127659574468,1,2,1.0,0,0,0
1500,1,0,0.0,197,205,0.5203045685279187,1,2,1.0,0,0,0
1520,1,0,0.0,127,109,0.42913385826771655,3,4,0.6666666666666666,0,0,0
1540,1,0,0.0,89,87,0.4887640449438202,6,7,0.5833333333333334,0,0,0
1560,0,0,,61,56,0.45901639344262296,11,15,0.6818181818181818,0,0,0
1580,0,0,,47,36,0.3829787234042553,17,17,0.5,0,0,0
1600,0,0,,32,26,0.40625,18,20,0.5555555555555556,0,0,0
1620,0,0,,25,14,0.28,30,32,0.5333333333333333,0,0,0
1640,0,0,,11,7,0.3181818181818182,44,51,0.5795454545454546,0,0,0
