hours,bullet_g,bullet_w,bullet_d,bullet_l,bullet_res,bullet_diff,bullet_diff_avg,blitz_g,blitz_w,blitz_d,blitz_l,blitz_res,blitz_diff,blitz_diff_avg,rapid_g,rapid_w,rapid_d,rapid_l,rapid_res,rapid_diff,rapid_diff_avg,_g,_w,_d,_l,_res,_diff,_diff_avg
00,0,0,0,0,0,0,,134,67,3,64,3,20,0.14925373134328357,5,3,0,2,1,12,2.4,139,70,3,66,4,32,10.666666666666666
01,3,2,0,1,1,54,18.0,119,62,0,57,5,26,0.2184873949579832,2,2,0,0,2,39,19.5,124,66,0,58,8,119,39.666666666666664
02,0,0,0,0,0,0,,37,15,0,22,-7,-39,-1.054054054054054,0,0,0,0,0,0,,37,15,0,22,-7,-39,-13.0
03,0,0,0,0,0,0,,23,11,1,11,0,6,0.2608695652173913,0,0,0,0,0,0,,23,11,1,11,0,6,2.0
04,0,0,0,0,0,0,,3,1,0,2,-1,-6,-2.0,0,0,0,0,0,0,,3,1,0,2,-1,-6,-2.0
05,0,0,0,0,0,0,,4,1,0,3,-2,-11,-2.75,0,0,0,0,0,0,,4,1,0,3,-2,-11,-3.6666666666666665
06,0,0,0,0,0,0,,1,0,0,1,-1,-6,-6.0,0,0,0,0,0,0,,1,0,0,1,-1,-6,-2.0
07,0,0,0,0,0,0,,9,6,0,3,3,21,2.3333333333333335,0,0,0,0,0,0,,9,6,0,3,3,21,7.0
08,0,0,0,0,0,0,,14,7,0,7,0,16,1.1428571428571428,0,0,0,0,0,0,,14,7,0,7,0,16,5.333333333333333
09,0,0,0,0,0,0,,43,15,3,25,-10,-45,-1.0465116279069768,0,0,0,0,0,0,,43,15,3,25,-10,-45,-15.0
10,0,0,0,0,0,0,,84,41,2,41,0,-9,-0.10714285714285714,3,1,0,2,-1,-9,-3.0,87,42,2,43,-1,-18,-6.0
11,0,0,0,0,0,0,,90,40,0,50,-10,-41,-0.45555555555555555,2,1,0,1,0,1,0.5,92,41,0,51,-10,-40,-13.333333333333334
12,1,1,0,0,1,63,63.0,154,72,6,76,-4,-9,-0.05844155844155844,4,0,0,4,-4,-46,-11.5,159,73,6,80,-7,8,2.6666666666666665
13,0,0,0,0,0,0,,117,49,1,67,-18,-89,-0.7606837606837606,4,2,0,2,0,27,6.75,121,51,1,69,-18,-62,-20.666666666666668
14,0,0,0,0,0,0,,141,70,2,69,1,9,0.06382978723404255,4,2,0,2,0,-1,-0.25,145,72,2,71,1,8,2.6666666666666665
15,1,0,0,1,-1,-56,-56.0,172,85,1,86,-1,-5,-0.029069767441860465,6,3,0,3,0,-15,-2.5,179,88,1,90,-2,-76,-25.333333333333332
16,9,4,1,4,0,25,2.7777777777777777,190,98,7,85,13,74,0.3894736842105263,7,3,0,4,-1,-23,-3.2857142857142856,206,105,8,93,12,76,25.333333333333332
17,3,2,0,1,1,22,7.333333333333333,160,79,4,77,2,20,0.125,5,4,0,1,3,30,6.0,168,85,4,79,6,72,24.0
18,0,0,0,0,0,0,,137,72,4,61,11,84,0.6131386861313869,5,3,0,2,1,14,2.8,142,75,4,63,12,98,32.666666666666664
19,0,0,0,0,0,0,,173,94,3,76,18,99,0.5722543352601156,7,2,0,5,-3,-53,-7.571428571428571,180,96,3,81,15,46,15.333333333333334
20,0,0,0,0,0,0,,252,128,4,120,8,77,0.3055555555555556,19,10,0,9,1,-112,-5.894736842105263,271,138,4,129,9,-35,-11.666666666666666
21,0,0,0,0,0,0,,176,82,6,88,-6,-41,-0.23295454545454544,9,5,0,4,1,57,6.333333333333333,185,87,6,92,-5,16,5.333333333333333
22,0,0,0,0,0,0,,156,54,8,94,-40,-220,-1.4102564102564104,12,6,0,6,0,-99,-8.25,168,60,8,100,-40,-319,-106.33333333333333
23,0,0,0,0,0,0,,138,66,4,68,-2,5,0.036231884057971016,5,3,0,2,1,5,1.0,143,69,4,70,-1,10,3.3333333333333335
